,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
82,09/10/2022,Crystal Palace,Leeds,2.0,1.0,H,2.05,3.5,3.6
83,09/10/2022,West Ham,Fulham,3.0,1.0,H,1.72,3.8,4.75
84,09/10/2022,Arsenal,Liverpool,3.0,2.0,H,2.5,3.6,2.62
85,09/10/2022,Everton,Man United,1.0,2.0,A,3.6,3.5,2.05
86,10/10/2022,Nott'm Forest,Aston Villa,1.0,1.0,D,3.3,3.4,2.2
87,14/10/2022,Brentford,Brighton,2.0,0.0,H,3.1,3.4,2.3
88,15/10/2022,Leicester,Crystal Palace,0.0,0.0,D,2.3,3.4,3.1
89,15/10/2022,Fulham,Bournemouth,2.0,2.0,D,1.85,3.75,4.0
90,15/10/2022,Wolves,Nott'm Forest,1.0,0.0,H,1.7,3.75,5.0
91,15/10/2022,Tottenham,Everton,2.0,0.0,H,1.5,4.5,6.5
92,16/10/2022,Aston Villa,Chelsea,0.0,2.0,A,4.33,3.75,1.8
93,16/10/2022,Leeds,Arsenal,0.0,1.0,A,6.0,4.2,1.55
94,16/10/2022,Man United,Newcastle,0.0,0.0,D,1.95,3.8,3.5
95,16/10/2022,Southampton,West Ham,1.0,1.0,D,2.9,3.4,2.4
96,16/10/2022,Liverpool,Man City,1.0,0.0,H,3.6,4.0,1.9
97,18/10/2022,Brighton,Nott'm Forest,0.0,0.0,D,1.4,4.75,7.0
98,18/10/2022,Crystal Palace,Wolves,2.0,1.0,H,2.25,3.1,3.4
99,19/10/2022,Bournemouth,Southampton,0.0,1.0,A,2.62,3.3,2.62
100,19/10/2022,Brentford,Chelsea,0.0,0.0,D,4.75,3.8,1.72
101,19/10/2022,Liverpool,West Ham,1.0,0.0,H,1.4,5.0,7.0
102,19/10/2022,Newcastle,Everton,1.0,0.0,H,1.6,3.8,5.75
103,19/10/2022,Man United,Tottenham,2.0,0.0,H,2.45,3.5,2.75
104,20/10/2022,Fulham,Aston Villa,3.0,0.0,H,2.9,3.3,2.5
105,20/10/2022,Leicester,Leeds,2.0,0.0,H,2.25,3.6,3.0
106,22/10/2022,Nott'm Forest,Liverpool,1.0,0.0,H,11.0,6.0,1.25
107,22/10/2022,Everton,Crystal Palace,3.0,0.0,H,2.6,3.2,2.87
108,22/10/2022,Man City,Brighton,3.0,1.0,H,1.2,7.0,13.0
109,22/10/2022,Chelsea,Man United,1.0,1.0,D,2.05,3.5,3.5
110,23/10/2022,Aston Villa,Brentford,4.0,0.0,H,2.1,3.5,3.5
111,23/10/2022,Leeds,Fulham,2.0,3.0,A,2.05,3.5,3.6
112,23/10/2022,Southampton,Arsenal,1.0,1.0,D,6.0,4.0,1.57
113,23/10/2022,Wolves,Leicester,0.0,4.0,A,2.25,3.25,3.25
114,23/10/2022,Tottenham,Newcastle,1.0,2.0,A,2.05,3.5,3.5
115,24/10/2022,West Ham,Bournemouth,2.0,0.0,H,1.55,4.0,6.0
116,29/10/2022,Leicester,Man City,0.0,1.0,A,10.0,6.5,1.25
117,29/10/2022,Bournemouth,Tottenham,2.0,3.0,A,5.0,3.8,1.7
118,29/10/2022,Brentford,Wolves,1.0,1.0,D,2.2,3.4,3.3
119,29/10/2022,Brighton,Chelsea,4.0,1.0,H,3.0,3.3,2.4
120,29/10/2022,Crystal Palace,Southampton,1.0,0.0,H,1.9,3.6,4.0
121,29/10/2022,Newcastle,Aston Villa,4.0,0.0,H,1.8,3.75,4.5
122,29/10/2022,Fulham,Everton,0.0,0.0,D,2.37,3.4,3.0
123,29/10/2022,Liverpool,Leeds,1.0,2.0,A,1.3,6.0,9.0
124,30/10/2022,Arsenal,Nott'm Forest,5.0,0.0,H,1.2,7.0,12.0
125,30/10/2022,Man United,West Ham,1.0,0.0,H,1.66,4.0,4.8
126,05/11/2022,Leeds,Bournemouth,4.0,3.0,H,1.72,3.8,4.75
127,05/11/2022,Man City,Fulham,2.0,1.0,H,1.11,9.5,19.0
128,05/11/2022,Nott'm Forest,Brentford,2.0,2.0,D,2.75,3.3,2.6
129,05/11/2022,Wolves,Brighton,2.0,3.0,A,3.3,3.3,2.25
130,05/11/2022,Everton,Leicester,0.0,2.0,A,2.4,3.3,3.0
131,06/11/2022,Chelsea,Arsenal,0.0,1.0,A,2.55,3.4,2.7
132,06/11/2022,Aston Villa,Man United,3.0,1.0,H,3.3,3.8,2.1
133,06/11/2022,Southampton,Newcastle,1.0,4.0,A,4.0,3.6,1.9
134,06/11/2022,West Ham,Crystal Palace,1.0,2.0,A,1.9,3.4,4.2
135,06/11/2022,Tottenham,Liverpool,1.0,2.0,A,3.3,3.6,2.1
136,12/11/2022,Man City,Brentford,1.0,2.0,A,1.14,8.0,17.0
137,12/11/2022,Bournemouth,Everton,3.0,0.0,H,2.8,3.25,2.6
138,12/11/2022,Liverpool,Southampton,3.0,1.0,H,1.25,6.5,11.0
139,12/11/2022,Nott'm Forest,Crystal Palace,1.0,0.0,H,3.1,3.1,2.45
140,12/11/2022,Tottenham,Leeds,4.0,3.0,H,1.65,4.2,4.75
141,12/11/2022,West Ham,Leicester,0.0,2.0,A,2.05,3.4,3.75
142,12/11/2022,Newcastle,Chelsea,1.0,0.0,H,2.35,3.4,3.0
143,12/11/2022,Wolves,Arsenal,0.0,2.0,A,6.0,4.2,1.55
144,13/11/2022,Brighton,Aston Villa,1.0,2.0,A,1.83,3.75,4.2
145,13/11/2022,Fulham,Man United,1.0,2.0,A,3.8,3.8,1.9
146,26/12/2022,Brentford,Tottenham,2.0,2.0,D,4.0,3.6,1.91
147,26/12/2022,Crystal Palace,Fulham,0.0,3.0,A,2.05,3.6,3.5
148,26/12/2022,Everton,Wolves,1.0,2.0,A,2.3,3.25,3.2
149,26/12/2022,Leicester,Newcastle,0.0,3.0,A,3.25,3.5,2.2
150,26/12/2022,Southampton,Brighton,1.0,3.0,A,3.3,3.5,2.15
151,26/12/2022,Aston Villa,Liverpool,1.0,3.0,A,4.75,4.0,1.7
152,26/12/2022,Arsenal,West Ham,3.0,1.0,H,1.5,4.33,6.5
153,27/12/2022,Chelsea,Bournemouth,2.0,0.0,H,1.3,5.5,10.0
154,27/12/2022,Man United,Nott'm Forest,3.0,0.0,H,1.29,5.5,11.0
155,28/12/2022,Leeds,Man City,1.0,3.0,A,9.5,6.0,1.29
156,30/12/2022,West Ham,Brentford,0.0,2.0,A,2.0,3.6,3.6
157,30/12/2022,Liverpool,Leicester,2.0,1.0,H,1.29,6.0,9.5
158,31/12/2022,Wolves,Man United,0.0,1.0,A,4.0,3.6,1.91
159,31/12/2022,Bournemouth,Crystal Palace,0.0,2.0,A,2.8,3.3,2.5
160,31/12/2022,Fulham,Southampton,2.0,1.0,H,1.95,3.6,3.75
161,31/12/2022,Man City,Everton,1.0,1.0,D,1.13,9.0,19.0
162,31/12/2022,Newcastle,Leeds,0.0,0.0,D,1.45,4.5,7.0
163,31/12/2022,Brighton,Arsenal,2.0,4.0,A,3.4,3.5,2.1
164,01/01/2023,Tottenham,Aston Villa,0.0,2.0,A,1.67,4.0,5.0
165,01/01/2023,Nott'm Forest,Chelsea,1.0,1.0,D,5.0,3.8,1.7
166,02/01/2023,Brentford,Liverpool,3.0,1.0,H,5.5,4.33,1.55
167,03/01/2023,Arsenal,Newcastle,0.0,0.0,D,1.8,3.8,4.33
168,03/01/2023,Everton,Brighton,1.0,4.0,A,3.5,3.5,2.1
169,03/01/2023,Leicester,Fulham,0.0,1.0,A,2.2,3.6,3.1
170,03/01/2023,Man United,Bournemouth,3.0,0.0,H,1.29,5.5,11.0
171,04/01/2023,Southampton,Nott'm Forest,0.0,1.0,A,2.0,3.5,3.8
172,04/01/2023,Leeds,West Ham,2.0,2.0,D,2.6,3.5,2.6
173,04/01/2023,Aston Villa,Wolves,1.0,1.0,D,1.95,3.6,4.0
174,04/01/2023,Crystal Palace,Tottenham,0.0,4.0,A,3.4,3.5,2.15
175,05/01/2023,Chelsea,Man City,0.0,1.0,A,5.0,4.0,1.67
176,12/01/2023,Fulham,Chelsea,2.0,1.0,H,3.3,3.5,2.15
177,13/01/2023,Aston Villa,Leeds,2.0,1.0,H,1.91,3.6,4.0
178,14/01/2023,Man United,Man City,2.0,1.0,H,4.2,3.6,1.85
179,14/01/2023,Brighton,Liverpool,3.0,0.0,H,3.4,3.6,2.1
180,14/01/2023,Everton,Southampton,1.0,2.0,A,2.25,3.25,3.3
181,14/01/2023,Nott'm Forest,Leicester,2.0,0.0,H,2.7,3.3,2.63
182,14/01/2023,Wolves,West Ham,1.0,0.0,H,2.63,3.3,2.7
183,14/01/2023,Brentford,Bournemouth,2.0,0.0,H,1.65,4.0,5.25
184,15/01/2023,Chelsea,Crystal Palace,1.0,0.0,H,1.62,4.0,5.25
185,15/01/2023,Newcastle,Fulham,1.0,0.0,H,1.5,4.33,6.5
186,15/01/2023,Tottenham,Arsenal,0.0,2.0,A,3.1,3.6,2.2
187,18/01/2023,Crystal Palace,Man United,1.0,1.0,D,4.5,3.6,1.8
188,19/01/2023,Man City,Tottenham,4.0,2.0,H,1.36,5.0,8.5
189,21/01/2023,Liverpool,Chelsea,0.0,0.0,D,1.85,3.75,4.0
190,21/01/2023,Bournemouth,Nott'm Forest,1.0,1.0,D,2.75,3.1,2.75
191,21/01/2023,Leicester,Brighton,2.0,2.0,D,3.6,3.5,2.05
192,21/01/2023,Southampton,Aston Villa,0.0,1.0,A,2.88,3.25,2.55
193,21/01/2023,West Ham,Everton,2.0,0.0,H,1.8,3.75,4.75
194,21/01/2023,Crystal Palace,Newcastle,0.0,0.0,D,4.4,3.5,1.85
195,22/01/2023,Leeds,Brentford,0.0,0.0,D,2.38,3.6,2.88
196,22/01/2023,Man City,Wolves,3.0,0.0,H,1.2,8.0,11.0
197,22/01/2023,Arsenal,Man United,3.0,2.0,H,1.8,3.8,4.2
198,23/01/2023,Fulham,Tottenham,0.0,1.0,A,3.3,3.6,2.1
199,03/02/2023,Chelsea,Fulham,0.0,0.0,D,1.62,4.0,5.25
200,04/02/2023,Everton,Arsenal,1.0,0.0,H,8.5,4.5,1.4
201,04/02/2023,Aston Villa,Leicester,2.0,4.0,A,1.95,3.6,3.8
202,04/02/2023,Brentford,Southampton,3.0,0.0,H,1.85,3.6,4.2
203,04/02/2023,Brighton,Bournemouth,1.0,0.0,H,1.33,5.25,8.5
204,04/02/2023,Man United,Crystal Palace,2.0,1.0,H,1.4,4.75,8.0
205,04/02/2023,Wolves,Liverpool,3.0,0.0,H,4.0,3.8,1.85
206,04/02/2023,Newcastle,West Ham,1.0,1.0,D,1.6,3.8,6.0
207,05/02/2023,Nott'm Forest,Leeds,1.0,0.0,H,2.63,3.3,2.7
208,05/02/2023,Tottenham,Man City,1.0,0.0,H,4.33,4.2,1.73
209,08/02/2023,Man United,Leeds,2.0,2.0,D,1.45,5.0,6.0
210,11/02/2023,West Ham,Chelsea,1.0,1.0,D,3.3,3.3,2.25
211,11/02/2023,Arsenal,Brentford,1.0,1.0,D,1.44,4.75,7.0
212,11/02/2023,Crystal Palace,Brighton,1.0,1.0,D,3.8,3.5,2.0
213,11/02/2023,Fulham,Nott'm Forest,2.0,0.0,H,1.91,3.5,4.33
214,11/02/2023,Leicester,Tottenham,4.0,1.0,H,3.4,3.6,2.1
215,11/02/2023,Southampton,Wolves,1.0,2.0,A,2.9,3.2,2.55
216,11/02/2023,Bournemouth,Newcastle,1.0,1.0,D,6.5,4.0,1.53
217,12/02/2023,Leeds,Man United,0.0,2.0,A,3.75,3.8,1.91
218,12/02/2023,Man City,Aston Villa,3.0,1.0,H,1.25,6.5,11.0
219,13/02/2023,Liverpool,Everton,2.0,0.0,H,1.5,4.33,6.5
220,15/02/2023,Arsenal,Man City,1.0,3.0,A,2.9,3.5,2.35
221,18/02/2023,Aston Villa,Arsenal,2.0,4.0,A,4.5,3.6,1.5
222,18/02/2023,Brentford,Crystal Palace,1.0,1.0,D,1.83,3.5,4.5
223,18/02/2023,Brighton,Fulham,0.0,1.0,A,1.65,3.8,5.5
224,18/02/2023,Chelsea,Southampton,0.0,1.0,A,1.4,4.75,8.5
225,18/02/2023,Everton,Leeds,1.0,0.0,H,2.4,3.3,3.0
226,18/02/2023,Nott'm Forest,Man City,1.0,1.0,D,8.5,5.5,1.3
227,18/02/2023,Wolves,Bournemouth,0.0,1.0,A,1.67,3.6,6.0
228,18/02/2023,Newcastle,Liverpool,0.0,2.0,A,2.5,3.5,2.7
229,19/02/2023,Man United,Leicester,3.0,0.0,H,1.62,4.33,5.25
230,19/02/2023,Tottenham,West Ham,2.0,0.0,H,1.75,3.6,4.75
231,24/02/2023,Fulham,Wolves,1.0,1.0,D,2.5,3.2,3.0
232,25/02/2023,Everton,Aston Villa,0.0,2.0,A,2.5,3.2,3.0
233,25/02/2023,Leeds,Southampton,1.0,0.0,H,1.95,3.5,4.0
234,25/02/2023,Leicester,Arsenal,0.0,1.0,A,4.75,4.0,1.7
235,25/02/2023,West Ham,Nott'm Forest,4.0,0.0,H,1.75,3.6,5.0
236,25/02/2023,Bournemouth,Man City,1.0,4.0,A,10.0,5.75,1.29
237,25/02/2023,Crystal Palace,Liverpool,0.0,0.0,D,4.75,3.8,1.73
238,26/02/2023,Tottenham,Chelsea,2.0,0.0,H,2.55,3.25,2.9
239,01/03/2023,Arsenal,Everton,4.0,0.0,H,1.36,4.75,10.0
240,01/03/2023,Liverpool,Wolves,2.0,0.0,H,1.5,4.75,6.0
241,04/03/2023,Man City,Newcastle,2.0,0.0,H,1.45,4.5,7.0
242,04/03/2023,Arsenal,Bournemouth,3.0,2.0,H,1.22,7.0,12.0
243,04/03/2023,Aston Villa,Crystal Palace,1.0,0.0,H,2.05,3.3,3.8
244,04/03/2023,Brighton,West Ham,4.0,0.0,H,1.8,3.6,4.5
245,04/03/2023,Chelsea,Leeds,1.0,0.0,H,1.62,4.0,5.5
246,04/03/2023,Wolves,Tottenham,1.0,0.0,H,3.3,3.4,2.2
247,04/03/2023,Southampton,Leicester,1.0,0.0,H,2.75,3.3,2.6
248,05/03/2023,Nott'm Forest,Everton,2.0,2.0,D,2.7,3.0,2.88
249,05/03/2023,Liverpool,Man United,7.0,0.0,H,2.38,3.6,2.88
250,06/03/2023,Brentford,Fulham,3.0,2.0,H,1.95,3.6,3.75
251,11/03/2023,Bournemouth,Liverpool,1.0,0.0,H,7.5,5.0,1.4
252,11/03/2023,Everton,Brentford,1.0,0.0,H,2.7,3.25,2.7
253,11/03/2023,Leeds,Brighton,2.0,2.0,D,3.75,3.6,1.95
254,11/03/2023,Leicester,Chelsea,1.0,3.0,A,3.75,3.5,1.95
255,11/03/2023,Tottenham,Nott'm Forest,3.0,1.0,H,1.44,4.75,7.0
256,11/03/2023,Crystal Palace,Man City,0.0,1.0,A,9.0,4.75,1.36
257,12/03/2023,Fulham,Arsenal,0.0,3.0,A,6.0,4.0,1.57
258,12/03/2023,Man United,Southampton,0.0,0.0,D,1.36,5.0,9.0
259,12/03/2023,West Ham,Aston Villa,1.0,1.0,D,2.2,3.3,3.4
260,12/03/2023,Newcastle,Wolves,2.0,1.0,H,1.65,3.75,5.5
0,13/08/11,Blackburn,Wolves,1.0,2.0,A,2.2,3.2,3.5
1,13/08/11,Fulham,Aston Villa,0.0,0.0,D,2.2,3.2,3.5
2,13/08/11,Liverpool,Sunderland,1.0,1.0,D,1.57,3.6,7.0
3,13/08/11,Newcastle,Arsenal,0.0,0.0,D,3.75,3.25,2.1
4,13/08/11,QPR,Bolton,0.0,4.0,A,2.4,3.25,3.0
5,13/08/11,Wigan,Norwich,1.0,1.0,D,2.2,3.2,3.5
6,14/08/11,Stoke,Chelsea,0.0,0.0,D,5.5,3.5,1.7
7,14/08/11,West Brom,Man United,1.0,2.0,A,6.5,4.0,1.53
8,15/08/11,Man City,Swansea,4.0,0.0,H,1.29,5.0,13.0
9,20/08/11,Arsenal,Liverpool,0.0,2.0,A,2.5,3.25,2.9
10,20/08/11,Aston Villa,Blackburn,3.0,1.0,H,1.73,3.4,5.5
11,20/08/11,Chelsea,West Brom,2.0,1.0,H,1.3,5.5,10.0
12,20/08/11,Everton,QPR,0.0,1.0,A,1.53,3.8,7.0
13,20/08/11,Sunderland,Newcastle,0.0,1.0,A,2.2,3.25,3.4
14,20/08/11,Swansea,Wigan,0.0,0.0,D,2.1,3.3,3.6
15,21/08/11,Bolton,Man City,2.0,3.0,A,4.75,3.5,1.8
16,21/08/11,Norwich,Stoke,1.0,1.0,D,2.6,3.3,2.75
17,21/08/11,Wolves,Fulham,2.0,0.0,H,2.38,3.25,3.1
18,22/08/11,Man United,Tottenham,3.0,0.0,H,1.67,3.75,5.5
19,27/08/11,Aston Villa,Wolves,0.0,0.0,D,2.1,3.25,3.75
20,27/08/11,Blackburn,Everton,0.0,1.0,A,3.3,3.25,2.25
21,27/08/11,Chelsea,Norwich,3.0,1.0,H,1.2,6.5,15.0
22,27/08/11,Liverpool,Bolton,3.0,1.0,H,1.4,4.5,8.5
23,27/08/11,Swansea,Sunderland,0.0,0.0,D,2.38,3.3,3.0
24,27/08/11,Wigan,QPR,2.0,0.0,H,2.25,3.3,3.25
25,28/08/11,Man United,Arsenal,8.0,2.0,H,1.5,4.33,6.5
26,28/08/11,Newcastle,Fulham,2.0,1.0,H,2.1,3.25,3.75
27,28/08/11,Tottenham,Man City,1.0,5.0,A,2.88,3.3,2.5
28,28/08/11,West Brom,Stoke,0.0,1.0,A,2.1,3.25,3.75
29,10/09/11,Arsenal,Swansea,1.0,0.0,H,1.36,4.75,9.0
30,10/09/11,Bolton,Man United,0.0,5.0,A,9.0,4.5,1.4
31,10/09/11,Everton,Aston Villa,2.0,2.0,D,2.0,3.4,3.8
32,10/09/11,Man City,Wigan,3.0,0.0,H,1.17,7.0,17.0
33,10/09/11,Stoke,Liverpool,1.0,0.0,H,3.25,3.3,2.25
34,10/09/11,Sunderland,Chelsea,1.0,2.0,A,5.0,3.75,1.7
35,10/09/11,Wolves,Tottenham,0.0,2.0,A,3.0,3.25,2.4
36,11/09/11,Fulham,Blackburn,1.0,1.0,D,1.67,3.6,5.5
37,11/09/11,Norwich,West Brom,0.0,1.0,A,2.5,3.25,2.88
38,12/09/11,QPR,Newcastle,0.0,0.0,D,2.4,3.25,3.0
39,17/09/11,Aston Villa,Newcastle,1.0,1.0,D,1.91,3.4,4.2
40,17/09/11,Blackburn,Arsenal,4.0,3.0,H,4.2,3.4,1.91
41,17/09/11,Bolton,Norwich,1.0,2.0,A,1.8,3.6,4.6
42,17/09/11,Everton,Wigan,3.0,1.0,H,1.5,4.0,7.0
43,17/09/11,Swansea,West Brom,3.0,0.0,H,2.63,3.2,2.75
44,17/09/11,Wolves,QPR,0.0,3.0,A,1.91,3.4,4.2
45,18/09/11,Fulham,Man City,2.0,2.0,D,6.5,3.8,1.57
46,18/09/11,Man United,Chelsea,3.0,1.0,H,1.83,3.5,4.5
47,18/09/11,Sunderland,Stoke,4.0,0.0,H,2.4,3.2,3.1
48,18/09/11,Tottenham,Liverpool,4.0,0.0,H,2.63,3.4,2.63
49,24/09/11,Arsenal,Bolton,3.0,0.0,H,1.44,4.5,7.0
50,24/09/11,Chelsea,Swansea,4.0,1.0,H,1.2,6.5,15.0
51,24/09/11,Liverpool,Wolves,2.0,1.0,H,1.36,4.5,10.0
52,24/09/11,Man City,Everton,2.0,0.0,H,1.44,4.33,7.5
53,24/09/11,Newcastle,Blackburn,3.0,1.0,H,1.83,3.5,4.5
54,24/09/11,Stoke,Man United,1.0,1.0,D,6.5,4.0,1.53
55,24/09/11,West Brom,Fulham,0.0,0.0,D,2.3,3.25,3.25
56,24/09/11,Wigan,Tottenham,1.0,2.0,A,4.0,3.5,1.91
57,25/09/11,QPR,Aston Villa,1.0,1.0,D,2.3,3.25,3.2
58,26/09/11,Norwich,Sunderland,2.0,1.0,H,2.5,3.4,2.8
59,01/10/11,Aston Villa,Wigan,2.0,0.0,H,1.62,3.75,6.0
60,01/10/11,Blackburn,Man City,0.0,4.0,A,6.5,3.75,1.57
61,01/10/11,Everton,Liverpool,0.0,2.0,A,3.1,3.2,2.4
62,01/10/11,Man United,Norwich,2.0,0.0,H,1.17,7.0,17.0
63,01/10/11,Sunderland,West Brom,2.0,2.0,D,2.25,3.4,3.2
64,01/10/11,Wolves,Newcastle,1.0,2.0,A,2.5,3.25,2.88
65,02/10/11,Bolton,Chelsea,1.0,5.0,A,6.5,4.0,1.53
66,02/10/11,Fulham,QPR,6.0,0.0,H,2.0,3.3,4.0
67,02/10/11,Swansea,Stoke,2.0,0.0,H,2.63,3.25,2.75
68,02/10/11,Tottenham,Arsenal,2.0,1.0,H,2.1,3.4,3.5
69,15/10/11,Chelsea,Everton,3.0,1.0,H,1.36,4.5,10.0
